Discrepancy,Chronos,Area,Scenario,Comments,Required input,Status,Remarks,Notify Reason
Active Service - [SSRV],Active Service - [SSRV],Res/Bus,,"Active service at Location TN=[INPUT], Is this additional service",TN,Pending,Active Service,
ADDRESS/PREMISE - [SSRV],Address Premise (Multiple WC),Res/Bus,,Address is located in multiple wire centers of [INPUT] Please contact customer to get a FS or NDN #,List of Wire Center,Pending,Multiple WC,
ADDRESS/PREMISE - [SSRV],Address Premise (Not Windstream Territory),Res/Bus,,Per Engineer Windstream does not service this address. Order has been cancelled. Please inform customer.,,Pending,Not Windstream Territory,
DSL - [SSRV],DSL - FTB or DW Null,Res/Bus,,Order will be delayed. Order Rescheduled for [INPUT].,Date,Pending,FTB or DW Null,
ORDER ENTRY - [SSRV],Order Entry - Caller ID MDF,Res/Bus,,"Caller ID not available, add NOCID to the DCRIS order if customer wants to keep the feature package.",,Pending,Need NOCID ASOC,
DUE DATES - [SSRV],Due Date- Cut Flash,Res/Bus,,"Cut in progress, set due date to [INPUT]",Date,Pending,Cut Flash,
Cable/TELEPHONE NUMBER – [CABLE],Cable/TELEPHONE NUMBER - CABLE,Res/Bus,,Need fictitious telephone number assigned,,Pending,Need Ficticious Number,
ORDER ENTRY - [SSRV],Order Entry - Voice mail #,Res/Bus,,Assign DID Voicemail number and contact customer,,Pending,Need Voice Mail#,
ADDRESS/PREMISE - [SSRV],Address Premise- Address Mismatch,Res/Bus,,"Verify Address, Order contains 2 different addresses",,Pending,Address Mismatch,
No Pairs - [SSRV],No Pairs- No Bonded pair(Res),Res/Bus,,"No bonded pair available, already at highest speed on single facility. Please notify customer BB speed ordered not available due to facility capacity.",,Notify,No Bonded Pair, No Facilities 
No Pairs - [SSRV],No Pairs- No Bonded pair(Bus),Res/Bus,,"No bonded pair available, already at highest speed on single facility. Please notify customer BB speed ordered not available due to facility capacity.",,Notify,No Bonded Pair, No Facilities 
ORDER ENTRY - [SSRV],Order Entry - Duplicate,Res/Bus,,Duplicate order =[INPUT] that was worked first,Duplicate Order #,Pending,Duplicate Order,
