Discrepancy,Chronos,Area,Scenario,Comments,Required input
SSI/Architel Change Form - Cancel Order - Order Canceled - [SSI],Order Cancelled -SSI - Winback(SPLNP),Res/Bus,Winback dispatched without SPLNP ASOC,Need to cancel record without SPLNP asoc ,
SSI/Architel Change Form - Cancel Order - Order Canceled - [SSI],Change Form-Cancel Order-Order Cancelled-SSI,Res/Bus,Dispatched to SSI printer and should not have,Need to cancel SSI sent in error,
SSI/Architel Change Form - Change Due Date - [SSI],Change Form-Change due date-SSI,Res/Bus,Dispatched wrong due date,Changed SSI due date=(Enter due date),Due date
SSI/Architel Change Form - Change Line Equipment - [SSI],Change Form-Change line equipment-SSI,Res/Bus,Dispatched on different line equipment,Change line equipment=(Enter new line equipment),LEN
SSI/Architel Change Form - Change Phone Number - [SSI],Change Form-Change Phone Number-SSI,Res/Bus,Dispatched to SSIS with incorrect telephone number,Change phone number from (Enter original phone number) to (Enter new phone number),Old & New TN #
DSL - [SSRV],DSL - M6 Issue(New Install),Res/Bus,Capacity is not sufficient to deliver broadband service to this location/M6 issue submitted /No response by cutoff,BB / Kinetic will be delayed due to M6 issue.  Please remove BB / Kinetic from this order and place on subsequent C-order,
DSL - [SSRV],DSL - Engineer review(New Install),Res/Bus,"MSS - OSPEBB, BB_DI, BB_PCM, or TRNSEBB queue",BB / Kinetic will be delayed due to Engineer Review.  Please remove BB / Kinetic from this order and place on subsequent C-order,
DSL - [SSRV],DSL - Customer only qualifies,Res/Bus,BPQ qualifies for lower speed than order requests,Customer only qualifies for (Enter speed),Speed
DSL - [SSRV],DSL - FTTP Facility Issue,Res/Bus,Downgrade speed due to FTTP Facility Issue,Downgrade speed due to FTTP Facility Issue = (Enter speed) and create subsequent order to upgrade customer to correct speed.  Notify customer of downgrade and delay of requested speed.,Speed
DSL - [SSRV],DSL - No Bonded Pins,Res/Bus,Downgrade speed due to no bonded pins,Downgrade speed due to lack of pins new speed = (Enter speed). Please notify customer and create subsequent order to upgrade customer to correct speed.,Speed
DSL - [SSRV],DSL - No VDSL2 Pins(Modem Change),Res/Bus,Downgrade speed due to no VDSL2 PIN - Modem change required,Downgrade speed due to lack of correct VDSL2 pin new speed = (Enter speed) and create subsequent order to upgrade customer to correct speed and install VDSL2 modem.  Notify customer of downgrade and delay of BB speed,Speed
DSL - [SSRV],DSL - No VDSL2 Pins(No Modem Change),Res/Bus,Downgrade speed due to no VDSL2 PIN - Modem change not required,Downgrade speed due to lack of correct VDSL2 pin new speed = (Enter speed) and create subsequent order to upgrade customer to correct speed no modem change required. .  Notify customer of downgrade and delay of BB speed.,Speed
No Pairs - [SSRV],No Pairs - No Bonded Pair,Bus/Res,Downgrade speed due to no bonded pair - Adding BB,Downgrade speed due to no bonded pair available = (Enter speed) and create subsequent order to upgrade customer to correct speed.  Notify customer of downgrade and delay of BB speed.,Speed
No Pairs - [SSRV],No Pairs - No Bonded Pair(Highest Speed),Bus/Res,Downgrade speed due to no bonded pair - Upgrade to highest speed on single pair/pin,Downgrade speed due to no bonded pair available = (Enter speed). Please notify customer and create subsequent order to upgrade customer to correct speed.,Speed
DSL - [SSRV],DSL - MAX SUBS,Res/Bus,DSLAM does not have sufficient capacity to serve BB (MAX SUBS),"Remove BB / Kinetic from ""I"" order. Cannot provide BB / Kinetic at this time.  Place C-order for BB / Kinetic",
DSL - [SSRV],DSL - Failed Qualification,Res/Bus,Failed Qualification,"Customer does not qualify for BB / Kinetic, remove from order & notify cust",
DSL - [SSRV],DSL - Fiber Overlay  (NC),Res/Bus,Fiber Overlay  (NC)- Broadband – Professional Install ASOC missing,"Customer will be served via Fiber Facilities.  Add PROF2 ASOC, provide customer a fiber modem and advise of access needed.",
DSL - [SSRV],DSL - Fiber Overlay  (PA),Res/Bus,Fiber Overlay  (PA)- Broadband – Professional Install ASOC missing,Customer will be served via Fiber Facilities.  Add PROF2 ASOC,
